"Season","Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"1909","Mordecai Brown","Cubs","4.52","1.39","3.25","0.03","","","",".203","0.87",".236","74.9%","52","67","","1.31","1.71","-0.40","","","1001547"
"1909","Harry Krause","Athletics","5.87","2.07","2.84","0.08","","","",".201","0.94",".244","78.0%","58","83","","1.39","1.72","-0.33","","","1007143"
"1907","Doc White","White Sox","4.36","1.18","3.71","0.09","","","",".248","1.06",".282","71.3%","94","82","","2.26","1.73","0.52","","","1013864"
"1915","Walter Johnson","Senators","5.43","1.50","3.63","0.03","","","",".214","0.93",".256","75.4%","53","65","","1.55","1.74","-0.19","","","1006511"
"1915","Pete Alexander","Phillies","5.76","1.53","3.77","0.07","","","",".193","0.84",".234","74.7%","43","62","","1.22","1.74","-0.52","","","1000128"
"1909","Ed Walsh","White Sox","4.96","1.95","2.54","0.00","","","",".204","0.94",".241","76.4%","60","81","","1.41","1.76","-0.36","","","1013570"
"1909","Rube Waddell","Browns","5.76","2.33","2.47","0.04","","","",".247","1.18",".297","71.3%","98","80","","2.37","1.77","0.60","","","1013467"
"1968","Bob Gibson","Cardinals","7.92","1.83","4.32","0.32","23.1%","5.3%","17.7%",".181","0.85",".230","86.7%","38","65","","1.12","1.77","-0.65","","","1004662"
"1908","Rube Vickers","Athletics","4.43","2.02","2.20","0.00","","","",".228","1.06",".263","67.1%","91","84","","2.21","1.79","0.43","","","1013422"
"1906","Cy Young","Americans","4.38","0.78","5.60","0.09","","","",".262","1.09",".298","58.1%","118","73","","3.19","1.79","1.40","","","1014369"
"1905","Rube Waddell","Athletics","7.86","2.46","3.19","0.14","","","",".200","0.98",".261","75.6%","55","68","","1.48","1.79","-0.32","","","1013467"
"1903","Rube Waddell","Athletics","8.39","2.36","3.55","0.08","","","",".231","1.11",".307","71.1%","80","62","","2.44","1.80","0.65","","","1013467"
"1904","Cy Young","Americans","4.74","0.69","6.90","0.14","","","",".234","0.94",".269","72.8%","74","72","","1.97","1.80","0.17","","","1014369"
"1907","Christy Mathewson","Giants","5.09","1.51","3.36","0.17","","","",".220","0.96",".256","73.2%","80","66","","2.00","1.80","0.20","","","1008235"
"1910","Russ Ford","Highlanders","6.28","2.10","2.99","0.12","","","",".187","0.88",".230","76.2%","63","69","","1.65","1.80","-0.15","","","1004223"
"1906","Ed Walsh","White Sox","5.53","1.88","2.95","0.03","","","",".215","0.98",".258","70.7%","73","78","","1.88","1.81","0.07","","","1013570"
"2014","Clayton Kershaw","Dodgers","10.85","1.41","7.71","0.41","31.9%","4.1%","27.8%",".194","0.86",".278","81.6%","51","49","56","1.77","1.81","-0.04","2.08","2.09","2036"
"1913","Walter Johnson","Senators","6.32","0.99","6.39","0.23","","","",".192","0.78",".233","83.7%","39","63","","1.14","1.82","-0.67","","","1006511"
"1916","Walter Johnson","Senators","5.55","2.00","2.78","0.00","15.7%","5.7%","10.1%",".214","1.01",".257","72.4%","68","66","","1.90","1.82","0.08","","","1006511"
"1908","Mordecai Brown","Cubs","3.54","1.41","2.51","0.03","","","",".195","0.84",".219","76.5%","63","74","","1.47","1.83","-0.36","","","1001547"
"1908","Orval Overall","Cubs","6.68","3.12","2.14","0.12","","","",".206","1.08",".257","71.0%","82","73","","1.92","1.83","0.09","","","1009910"
"1914","Dutch Leonard","Red Sox","7.05","2.40","2.93","0.12","","","",".180","0.89",".229","85.3%","36","69","","0.96","1.84","-0.88","","","1007532"
"1917","Pete Alexander","Phillies","4.64","1.30","3.57","0.09","13.1%","3.7%","9.4%",".229","1.01",".263","74.2%","65","70","","1.83","1.84","-0.01","","","1000128"
"1907","Charlie Smith","Senators","4.14","1.77","2.33","0.00","","","",".258","1.18",".294","66.3%","106","82","","2.61","1.85","0.76","","","1012110"
"1963","Sandy Koufax","Dodgers","8.86","1.68","5.28","0.52","25.3%","4.8%","20.5%",".186","0.87",".238","82.9%","62","62","","1.88","1.85","0.03","","","1007124"
"1909","Frank Smith","White Sox","4.36","1.73","2.53","0.02","","","",".213","0.95",".245","70.9%","77","85","","1.80","1.86","-0.06","","","1012139"
"1907","Cy Young","Americans","3.85","1.34","2.88","0.08","","","",".228","0.98",".256","71.5%","77","81","","1.99","1.88","0.11","","","1014369"
"1908","Tom Hughes","Senators","5.37","2.51","2.14","0.10","","","",".223","1.09",".265","71.7%","97","92","","2.21","1.88","0.33","","","1006163"
"1907","Mordecai Brown","Cubs","4.13","1.55","2.68","0.08","","","",".215","0.94",".244","78.4%","56","73","","1.39","1.89","-0.50","","","1001547"
"1904","Chief Bender","Athletics","6.58","2.61","2.53","0.04","","","",".225","1.11",".281","61.2%","108","76","","2.87","1.89","0.98","","","1000827"
"1888","Tim Keefe","Giants","6.94","1.86","3.72","0.10","","","",".206","0.94",".260","67.7%","64","65","","1.74","1.89","-0.15","","","1006743"
"1912","Walter Johnson","Senators","7.39","1.85","3.99","0.05","","","",".199","0.91",".258","75.2%","42","64","","1.39","1.89","-0.50","","","1006511"
"1910","Joe Wood","Red Sox","6.57","2.54","2.59","0.14","","","",".217","1.06",".268","64.6%","66","78","","1.68","1.90","-0.23","","","1014224"
"1906","Chief Bender","Athletics","6.00","1.81","3.31","0.19","","","",".236","1.07",".283","64.6%","92","77","","2.53","1.91","0.62","","","1000827"
"1907","Ed Walsh","White Sox","4.39","1.85","2.37","0.06","","","",".223","1.01",".255","73.2%","67","89","","1.60","1.91","-0.31","","","1013570"
"1965","Sandy Koufax","Dodgers","10.24","1.90","5.38","0.70","29.5%","5.5%","24.0%",".177","0.86",".234","79.0%","63","63","","2.04","1.93","0.11","","","1007124"
"1914","Walter Johnson","Senators","5.45","1.79","3.04","0.07","","","",".215","0.97",".257","77.2%","63","70","","1.72","1.93","-0.21","","","1006511"
"1971","Tom Seaver","Mets","9.08","1.92","4.74","0.57","26.2%","5.5%","20.7%",".202","0.95",".263","85.7%","52","59","","1.76","1.93","-0.17","","","1011708"
"1910","Christy Mathewson","Giants","5.20","1.70","3.07","0.14","","","",".245","1.11",".287","73.3%","62","67","","1.89","1.94","-0.04","","","1008235"
"1907","Tom Hughes","Senators","4.35","2.00","2.17","0.04","","","",".257","1.20",".294","61.1%","127","92","","3.11","1.94","1.17","","","1006163"
"1909","Doc White","White Sox","3.90","1.57","2.48","0.05","","","",".229","1.01",".259","72.7%","74","92","","1.72","1.94","-0.22","","","1013864"
"1916","Rube Marquard","Robins","4.70","1.67","2.82","0.09","13.5%","4.8%","8.7%",".224","1.01",".259","74.9%","59","73","","1.58","1.95","-0.37","","","1008125"
"1876","Tommy Bond","Dark Blues","1.94","0.29","6.77","0.04","","","",".236","0.90",".249","55.9%","69","81","","1.68","1.96","-0.28","","","1001158"
"1946","Hal Newhouser","Tigers","8.46","3.01","2.81","0.31","23.4%","8.3%","15.1%",".200","1.07",".259","79.0%","54","57","","1.94","1.96","-0.03","","","1009535"
"1917","Walter Johnson","Senators","5.19","1.88","2.76","0.08","14.6%","5.3%","9.4%",".206","0.97",".242","68.9%","84","70","","2.21","1.96","0.24","","","1006511"
"1915","Eddie Plank","Terriers","4.93","1.81","2.72","0.03","","","",".219","0.99",".257","72.5%","67","67","","2.08","1.97","0.11","","","1010385"
"1909","Eddie Plank","Athletics","4.48","2.10","2.13","0.03","","","",".223","1.04",".258","74.4%","74","89","","1.76","1.97","-0.21","","","1010385"
"1904","Deacon Phillippe","Pirates","4.43","1.40","3.15","0.05","","","",".280","1.25",".319","61.7%","117","71","","3.24","1.98","1.26","","","1010287"
"2018","Jacob deGrom","Mets","11.16","1.91","5.85","0.41","32.2%","5.5%","26.7%",".194","0.91",".281","82.0%","45","49","64","1.70","1.99","-0.29","2.60","2.78","10954"
"1910","Ray Collins","Red Sox","4.01","1.51","2.66","0.04","","","",".229","1.01",".260","70.9%","64","76","","1.62","1.99","-0.37","","","1002462"
"1906","Rube Waddell","Athletics","6.47","3.04","2.13","0.03","","","",".223","1.15",".277","72.8%","80","80","","2.21","1.99","0.22","","","1013467"
"1885","Lady Baldwin","Wolverines","6.78","1.41","4.82","0.10","","","",".213","0.92",".267","49.9%","66","64","","1.86","1.99","-0.13","","","1000483"
"2015","Clayton Kershaw","Dodgers","11.64","1.62","7.17","0.58","33.8%","4.7%","29.1%",".193","0.88",".281","78.3%","57","53","54","2.13","1.99","0.14","2.09","2.24","2036"
"1915","Tom Hughes","Braves","5.49","1.86","2.95","0.13","","","",".208","0.95",".248","69.6%","78","76","","2.12","1.99","0.12","","","1006164"
"1908","Bill Burns","Senators","3.00","0.98","3.06","0.16","","","",".225","0.93",".243","64.8%","74","97","","1.69","2.00","-0.31","","","1001701"
"1909","Walter Johnson","Senators","4.98","2.55","1.95","0.03","","","",".228","1.12",".268","67.9%","94","94","","2.22","2.00","0.21","","","1006511"
"1909","Joe Wood","Red Sox","4.93","2.41","2.05","0.06","","","",".211","1.02",".247","70.6%","88","88","","2.18","2.00","0.18","","","1014224"
"2013","Matt Harvey","Mets","9.64","1.56","6.16","0.35","27.7%","4.5%","23.2%",".206","0.93",".280","77.4%","64","53","70","2.27","2.00","0.27","2.63","2.63","11713"
"1916","Reb Russell","White Sox","3.81","1.43","2.67","0.03","11.4%","4.3%","7.1%",".220","0.94",".249","65.2%","86","72","","2.42","2.01","0.41","","","1011321"
"1972","Steve Carlton","Phillies","8.06","2.26","3.56","0.44","23.0%","6.4%","16.5%",".203","0.99",".256","81.3%","56","60","","1.97","2.01","-0.03","","","1001964"
"1907","Ed Karger","Cardinals","3.93","1.86","2.11","0.06","","","",".225","1.03",".254","70.5%","84","80","","2.04","2.01","0.03","","","1006699"
"1911","Joe Wood","Red Sox","7.54","2.48","3.04","0.07","","","",".225","1.10",".291","64.5%","60","68","","2.02","2.01","0.01","","","1014224"
"1908","Glenn Liebhardt","Naps","5.02","2.78","1.80","0.07","","","",".231","1.16",".271","70.3%","93","93","","2.20","2.01","0.19","","","1007601"
"1918","Eddie Cicotte","White Sox","3.52","1.35","2.60","0.07","9.8%","3.8%","6.1%",".271","1.18",".300","68.4%","101","71","","2.77","2.02","0.76","","","1002236"
"1907","Addie Joss","Naps","3.37","1.44","2.35","0.08","","","",".226","0.98",".250","71.5%","73","89","","1.83","2.02","-0.19","","","1006630"
"1904","Addie Joss","Naps","3.88","1.40","2.77","0.00","","","",".228","0.99",".258","74.1%","62","87","","1.59","2.02","-0.43","","","1006630"
"1885","Bobby Mathews","Athletics","6.09","1.21","5.02","0.06","","","",".249","1.07",".302","51.8%","72","71","","2.43","2.02","0.41","","","1008234"
"1905","Christy Mathewson","Giants","5.47","1.70","3.22","0.11","","","",".209","0.93",".249","74.5%","42","70","","1.28","2.03","-0.75","","","1008235"
"1910","Jack Coombs","Athletics","5.71","2.93","1.95","0.00","","","",".199","1.03",".243","80.0%","54","83","","1.30","2.03","-0.73","","","1002583"
"1904","Fred Glade","Browns","4.86","1.81","2.69","0.06","","","",".233","1.06",".272","68.9%","91","90","","2.27","2.03","0.24","","","1004753"
"1918","Walter Johnson","Senators","4.47","1.93","2.31","0.06","12.9%","5.6%","7.3%",".204","0.95",".235","78.4%","47","73","","1.27","2.03","-0.76","","","1006511"
"1906","Mordecai Brown","Cubs","4.67","1.98","2.36","0.03","","","",".202","0.93",".236","79.1%","39","75","","1.04","2.03","-1.00","","","1001547"
"1908","Eddie Cicotte","Red Sox","4.12","2.56","1.61","0.00","","","",".253","1.24",".288","72.6%","100","96","","2.43","2.04","0.39","","","1002236"
"1908","Jack Powell","Browns","2.99","1.65","1.81","0.04","","","",".224","1.00",".245","72.4%","91","97","","2.11","2.04","0.07","","","1010487"
"1909","Red Ames","Giants","5.75","2.99","1.93","0.07","","","",".240","1.22",".288","64.5%","104","78","","2.69","2.04","0.65","","","1000210"
"1968","Luis Tiant","Indians","9.20","2.54","3.62","0.56","26.8%","7.4%","19.4%",".167","0.87",".216","85.2%","53","62","","1.60","2.04","-0.44","","","1013054"
"1909","Howie Camnitz","Pirates","4.23","2.16","1.96","0.03","","","",".206","0.97",".236","73.8%","63","79","","1.62","2.04","-0.42","","","1001866"
"1907","Orval Overall","Cubs","4.73","2.31","2.04","0.10","","","",".210","1.01",".243","79.1%","68","81","","1.68","2.04","-0.37","","","1009910"
"1907","Eddie Plank","Athletics","4.79","2.23","2.15","0.13","","","",".225","1.07",".261","71.4%","85","91","","2.20","2.04","0.16","","","1010385"
"1909","Addie Joss","Naps","2.48","1.15","2.16","0.00","","","",".224","0.94",".243","69.5%","69","88","","1.71","2.05","-0.34","","","1006630"
"1908","George Mullin","Tigers","3.75","2.20","1.70","0.03","","","",".269","1.28",".300","62.8%","125","92","","3.10","2.05","1.05","","","1009302"
"1906","Jack Pfiester","Cubs","5.49","2.26","2.43","0.11","","","",".197","0.94",".235","76.0%","57","80","","1.51","2.06","-0.55","","","1010266"
"1884","Hugh Daily","- - -","8.68","1.29","6.71","0.20","","","",".240","1.03",".319","57.7%","81","82","","2.43","2.06","0.37","","","1002934"
"1908","Frank Smith","White Sox","3.90","2.21","1.77","0.06","","","",".202","0.96",".229","67.3%","90","99","","2.03","2.06","-0.03","","","1012139"
"1908","Jack Pfiester","Cubs","4.18","2.50","1.67","0.04","","","",".223","1.09",".255","72.3%","86","87","","2.00","2.06","-0.06","","","1010266"
"1880","Fred Goldsmith","White Stockings","3.85","0.77","5.00","0.09","","","",".242","0.98",".271","62.2%","72","84","","1.75","2.06","-0.30","","","1004808"
"1915","Phil Douglas","- - -","5.26","2.25","2.34","0.05","","","",".247","1.17",".291","61.2%","117","75","","3.25","2.06","1.19","","","1003436"
"1907","Jack Pfiester","Cubs","4.15","2.22","1.88","0.05","","","",".206","0.98",".236","69.4%","47","80","","1.15","2.06","-0.91","","","1010266"
"1875","Pidgey Morgan","Red Stockings","1.71","0.21","8.00","0.00","","","",".243","0.93",".256","-2.6%","144","86","","3.43","2.06","1.37","","","1009181"
"1904","Jack Chesbro","Highlanders","4.73","1.74","2.72","0.08","","","",".209","0.94",".243","71.4%","65","78","","1.82","2.06","-0.24","","","1002179"
"1906","Harry Howell","Browns","4.55","1.98","2.30","0.03","","","",".230","1.06",".266","68.1%","81","87","","2.11","2.06","0.05","","","1006097"
"1968","Bob Moose","Pirates","6.62","2.15","3.07","0.26","18.4%","6.0%","12.4%",".212","1.03",".257","68.8%","93","76","","2.73","2.06","0.67","","","1009134"
"1914","Cy Falkenberg","Hoosiers","5.63","2.12","2.65","0.12","","","",".238","1.12",".283","71.4%","65","70","","2.22","2.06","0.15","","","1003913"
"1906","Jack Powell","Browns","4.87","2.03","2.40","0.07","","","",".222","1.03",".259","71.0%","68","87","","1.77","2.07","-0.30","","","1010487"
"1908","Harry Howell","Browns","3.25","1.94","1.67","0.03","","","",".234","1.08",".258","72.1%","81","102","","1.89","2.07","-0.18","","","1006097"
"1914","Eddie Plank","Athletics","5.34","2.04","2.62","0.10","","","",".254","1.19",".299","70.8%","106","76","","2.87","2.07","0.80","","","1010385"
"1966","Sandy Koufax","Dodgers","8.83","2.15","4.12","0.53","24.9%","6.0%","18.8%",".201","0.98",".258","83.7%","53","67","","1.73","2.07","-0.34","","","1007124"
"1909","Joe Lake","Highlanders","4.89","2.47","1.98","0.08","","","",".229","1.11",".266","67.6%","72","85","","1.88","2.07","-0.19","","","1007262"
"1908","Nap Rucker","Superbas","5.37","3.38","1.59","0.03","","","",".220","1.17",".263","75.3%","93","94","","2.08","2.07","0.01","","","1011281"
"1905","Eddie Plank","Athletics","5.45","1.95","2.80","0.08","","","",".227","1.04",".270","71.5%","84","83","","2.26","2.07","0.19","","","1010385"
"1919","Walter Johnson","Senators","4.56","1.58","2.88","0.00","12.7%","4.4%","8.3%",".214","0.99",".247","75.1%","48","68","","1.49","2.07","-0.59","","","1006511"
"1964","Sandy Koufax","Dodgers","9.00","2.14","4.21","0.52","25.6%","6.1%","19.5%",".188","0.93",".243","83.7%","53","68","","1.74","2.08","-0.34","","","1007124"
"1906","Deacon Phillippe","Pirates","3.70","1.07","3.46","0.12","","","",".259","1.11",".288","69.2%","94","76","","2.47","2.08","0.39","","","1010287"
"1908","Doc White","White Sox","3.83","2.10","1.83","0.09","","","",".242","1.14",".271","73.4%","113","103","","2.55","2.08","0.47","","","1013864"
"1965","Sam McDowell","Indians","10.71","4.35","2.46","0.30","29.1%","11.8%","17.3%",".182","1.14",".262","77.8%","63","57","","2.18","2.08","0.09","","","1008476"
"1995","Randy Johnson","Mariners","12.35","2.73","4.52","0.50","34.0%","7.5%","26.4%",".200","1.05",".301","77.4%","52","45","","2.48","2.08","0.40","","","60"
"1968","Don Sutton","Dodgers","7.02","2.56","2.75","0.26","19.1%","7.0%","12.2%",".228","1.15",".280","76.0%","94","81","","2.60","2.08","0.52","","","1012745"
"1876","Jim Devlin","Grays","1.77","0.54","3.30","0.04","","","",".244","0.97",".256","49.1%","62","82","","1.56","2.08","-0.52","","","1003249"
"1905","Deacon Phillippe","Pirates","4.29","1.55","2.77","0.00","","","",".230","1.01",".264","67.6%","72","74","","2.19","2.08","0.11","","","1010287"
"1904","Eddie Plank","Athletics","5.06","2.17","2.34","0.05","","","",".236","1.11",".277","73.8%","81","88","","2.17","2.09","0.08","","","1010385"
"1917","Hippo Vaughn","Cubs","5.94","2.77","2.14","0.09","16.0%","7.5%","8.6%",".228","1.17",".275","73.6%","72","79","","2.01","2.09","-0.08","","","1013384"
"1907","Jack Chesbro","Highlanders","3.41","2.01","1.70","0.00","","","",".248","1.16",".276","66.0%","94","87","","2.53","2.09","0.44","","","1002179"
"1908","Ed Summers","Tigers","3.08","1.64","1.87","0.09","","","",".242","1.08",".264","68.5%","66","99","","1.64","2.09","-0.45","","","1012719"
"1880","John Ward","Grays","3.48","0.68","5.11","0.08","","","",".230","0.92",".255","58.6%","76","91","","1.74","2.10","-0.36","","","1013615"
"1907","Jimmy Dygert","Athletics","5.19","2.92","1.78","0.07","","","",".213","1.09",".252","68.3%","90","95","","2.34","2.10","0.24","","","1003616"
"1878","Bobby Mitchell","Reds","5.74","2.03","2.83","0.11","","","",".234","1.09",".280","64.3%","98","96","","2.14","2.10","0.04","","","1008994"
"1915","Doc Ayers","Senators","4.09","1.62","2.53","0.04","","","",".230","1.02",".261","70.9%","76","75","","2.21","2.10","0.11","","","1000387"
"1902","Deacon Phillippe","Pirates","4.04","0.86","4.69","0.03","","","",".257","1.07",".290","69.8%","74","72","","2.05","2.10","-0.05","","","1010287"
"1917","Eddie Cicotte","White Sox","3.89","1.82","2.14","0.05","11.7%","5.4%","6.2%",".202","0.91",".230","76.9%","58","75","","1.53","2.10","-0.57","","","1002236"
"1879","Bill McGunnigle","Bisons","4.65","1.20","3.88","0.00","","","",".250","1.08",".290","48.8%","103","83","","2.63","2.11","0.52","","","1008558"
"1910","Cy Young","Naps","3.20","1.49","2.15","0.00","","","",".244","1.08",".270","65.6%","98","82","","2.53","2.11","0.43","","","1014369"
"1965","Bob Veale","Pirates","9.34","4.03","2.32","0.17","24.5%","10.6%","13.9%",".221","1.28",".300","73.2%","80","63","","2.84","2.11","0.73","","","1013391"
"1919","Pete Alexander","Cubs","4.63","1.46","3.18","0.11","13.4%","4.2%","9.2%",".207","0.93",".238","78.1%","58","70","","1.72","2.11","-0.38","","","1000128"
"1908","Jimmy Dygert","Athletics","6.18","3.66","1.69","0.11","","","",".215","1.18",".262","68.5%","118","98","","2.87","2.11","0.76","","","1003616"
"1909","Jack Powell","Browns","3.09","1.58","1.95","0.04","","","",".247","1.10",".271","69.3%","87","92","","2.11","2.11","0.00","","","1010487"
