"Season","Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"1909","Cy Young","Naps","3.33","1.80","1.85","0.12","","","",".243","1.11",".267","68.2%","92","98","","2.26","2.25","0.01","","","1014369"
"1904","Jake Weimer","Cubs","5.19","2.84","1.82","0.03","","","",".209","1.06",".249","71.5%","72","84","","1.91","2.25","-0.35","","","1013738"
"1903","Christy Mathewson","Giants","6.56","2.46","2.67","0.10","","","",".237","1.15",".293","69.4%","70","72","","2.26","2.26","0.00","","","1008235"
"1908","Bob Ewing","Reds","2.91","1.75","1.67","0.15","","","",".230","1.04",".248","67.6%","93","91","","2.21","2.26","-0.05","","","1003880"
"1908","Charlie Chech","Naps","2.77","1.85","1.50","0.11","","","",".225","1.03",".244","72.3%","73","107","","1.74","2.26","-0.52","","","1002171"
"1995","Greg Maddux","Braves","7.77","0.99","7.87","0.34","23.1%","2.9%","20.1%",".194","0.81",".244","82.9%","39","52","","1.63","2.26","-0.63","","","104"
"1909","Barney Pelty","Browns","3.97","2.39","1.66","0.09","","","",".219","1.06",".248","71.8%","95","100","","2.30","2.26","0.04","","","1010136"
"1918","Guy Morton","Indians","5.16","3.23","1.60","0.04","13.8%","8.6%","5.2%",".233","1.24",".273","68.0%","91","76","","2.64","2.26","0.38","","","1009232"
"1915","Dick Rudolph","Braves","3.88","1.69","2.30","0.11","","","",".240","1.08",".269","67.6%","88","84","","2.37","2.26","0.11","","","1011284"
"1908","George McQuillan","Phillies","2.85","2.28","1.25","0.03","","","",".206","0.98",".225","76.1%","66","94","","1.53","2.26","-0.74","","","1008682"
"1905","Addie Joss","Naps","4.15","1.45","2.87","0.13","","","",".234","1.02",".264","71.7%","78","90","","2.01","2.26","-0.25","","","1006630"
"1878","John Ward","Grays","3.13","0.92","3.41","0.08","","","",".246","1.02",".270","56.5%","68","101","","1.51","2.26","-0.75","","","1013615"
"1916","Hippo Vaughn","Cubs","4.41","2.05","2.15","0.12","12.1%","5.6%","6.5%",".241","1.14",".273","73.8%","82","84","","2.20","2.27","-0.06","","","1013384"
"1906","Red Ames","Giants","6.90","4.12","1.68","0.04","","","",".225","1.27",".283","70.2%","101","83","","2.66","2.27","0.39","","","1000210"
"1965","Sonny Siebert","Indians","9.11","2.19","4.15","0.67","25.7%","6.2%","19.5%",".201","0.98",".257","77.5%","70","62","","2.43","2.27","0.16","","","1011951"
"1915","Willie Mitchell","Indians","5.68","3.20","1.77","0.04","","","",".240","1.25",".288","65.5%","92","74","","2.82","2.27","0.55","","","1009011"
"1916","Pat Ragan","Braves","4.65","2.32","2.00","0.15","13.1%","6.6%","6.6%",".213","1.04",".244","73.7%","83","90","","2.08","2.27","-0.19","","","1010650"
"1907","Fred Glade","Browns","3.16","2.00","1.58","0.09","","","",".247","1.15",".271","67.2%","108","104","","2.67","2.27","0.40","","","1004753"
"1966","Gaylord Perry","Giants","7.08","1.41","5.03","0.53","19.4%","3.9%","15.6%",".244","1.10",".293","73.3%","83","66","","2.99","2.27","0.72","","","1010210"
"1966","Mike Cuellar","Astros","6.93","2.06","3.37","0.40","19.2%","5.7%","13.5%",".224","1.08",".271","71.9%","63","68","","2.22","2.27","-0.06","","","1002853"
"1878","Sam Weaver","Grays","2.23","0.49","4.52","0.05","","","",".256","1.02",".273","45.7%","79","92","","1.95","2.27","-0.32","","","1013705"
"1913","Chief Bender","Athletics","5.13","2.24","2.29","0.08","","","",".238","1.13",".279","71.1%","78","79","","2.21","2.27","-0.07","","","1000827"
"1882","Guy Hecker","Eclipse","2.86","0.43","6.60","0.00","","","",".204","0.77",".224","38.8%","49","82","","1.30","2.27","-0.98","","","1005573"
"1907","Jake Thielman","Naps","3.04","1.84","1.65","0.11","","","",".244","1.11",".266","69.8%","92","101","","2.33","2.27","0.06","","","1012955"
"1905","Ed Reulbach","Cubs","4.69","2.25","2.08","0.03","","","",".202","0.96",".236","76.6%","48","86","","1.42","2.27","-0.86","","","1010850"
"1903","Cy Young","Americans","4.64","0.97","4.76","0.16","","","",".234","0.97",".268","67.9%","70","80","","2.08","2.28","-0.20","","","1014369"
"1884","Bob Black","Cowboys","6.80","1.24","5.47","0.07","","","",".268","1.17",".332","45.6%","112","93","","3.22","2.28","0.94","","","1001005"
"1888","Ben Sanders","Quakers","3.96","1.08","3.67","0.10","","","",".236","0.99",".266","64.8%","66","73","","1.90","2.28","-0.39","","","1011413"
"1917","Reb Russell","White Sox","2.57","1.52","1.69","0.05","7.4%","4.4%","3.0%",".244","1.07",".263","70.4%","73","82","","1.95","2.28","-0.33","","","1011321"
